Date;21862 - Physical Production - Manufacturing industry - Index
01/2002;85.1
02/2002;82.1
03/2002;91.0
04/2002;93.8
05/2002;94.7
06/2002;91.1
07/2002;98.0
08/2002;98.4
09/2002;96.9
10/2002;105.4
11/2002;99.1
12/2002;87.8
01/2003;86.7
02/2003;84.3
03/2003;90.7
04/2003;89.8
05/2003;93.4
06/2003;89.7
07/2003;95.6
08/2003;95.8
09/2003;101.0
10/2003;106.2
11/2003;99.7
12/2003;91.3
01/2004;90.2
02/2004;86.9
03/2004;102.5
04/2004;96.8
05/2004;101.8
06/2004;101.4
07/2004;106.1
08/2004;108.4
09/2004;108.7
10/2004;110.2
11/2004;108.4
12/2004;99.5
01/2005;95.1
02/2005;89.7
03/2005;103.5
04/2005;102.0
05/2005;106.8
06/2005;107.1
07/2005;106.0
08/2005;112.2
09/2005;107.9
10/2005;109.9
11/2005;108.5
12/2005;101.3
01/2006;97.5
02/2006;93.8
03/2006;108.2
04/2006;100.1
05/2006;111.6
06/2006;106.7
07/2006;109.6
08/2006;115.6
09/2006;109.1
10/2006;114.2
11/2006;112.3
12/2006;101.3
01/2007;101.4
02/2007;96.4
03/2007;112.9
04/2007;105.9
05/2007;117.0
06/2007;113.3
07/2007;116.7
08/2007;123.0
09/2007;115.2
10/2007;126.8
11/2007;120.2
12/2007;107.6
01/2008;110.5
02/2008;106.4
03/2008;114.3
04/2008;116.3
05/2008;119.7
06/2008;120.8
07/2008;126.8
08/2008;124.9
09/2008;125.7
10/2008;127.0
11/2008;112.8
12/2008;92.4
01/2009;91.8
02/2009;89.0
03/2009;103.6
04/2009;99.7
05/2009;106.9
06/2009;107.7
07/2009;114.2
08/2009;116.6
09/2009;116.6
10/2009;124.1
11/2009;119.1
12/2009;109.8
01/2010;106.1
02/2010;103.9
03/2010;123.1
04/2010;116.1
05/2010;122.0
06/2010;119.9
07/2010;124.9
08/2010;126.5
09/2010;123.6
10/2010;126.1
11/2010;125.1
12/2010;112.2
01/2011;108.3
02/2011;111.6
03/2011;122.3
04/2011;113.8
05/2011;125.3
06/2011;120.0
07/2011;123.8
08/2011;129.7
09/2011;122.4
10/2011;124.2
11/2011;121.6
12/2011;111.0
01/2012;102.9
02/2012;104.2
03/2012;116.4
04/2012;107.7
05/2012;119.2
06/2012;114.3
07/2012;121.9
08/2012;131.1
09/2012;121.5
10/2012;130.9
11/2012;123.3
12/2012;105.9
01/2013;110.2
02/2013;103.1
03/2013;115.1
04/2013;120.4
05/2013;123.8
06/2013;119.3
07/2013;127.1
08/2013;132.2
09/2013;126.6
10/2013;132.5
11/2013;124.6
12/2013;103.6
01/2014;107.5
02/2014;108.4
03/2014;113.4
04/2014;112.0
05/2014;118.5
06/2014;109.8
07/2014;121.4
08/2014;123.3
09/2014;122.8
10/2014;127.0
11/2014;115.5
12/2014;98.9
01/2015;99.9
02/2015;95.5
03/2015;108.1
04/2015;100.9
05/2015;106.0
06/2015;105.3
07/2015;109.0
08/2015;111.3
09/2015;107.6
10/2015;111.3
11/2015;101.0
12/2015;87.0
01/2016;87.0
02/2016;86.8
03/2016;96.6
04/2016;95.7
05/2016;98.8
06/2016;101.0
07/2016;102.8
08/2016;107.2
09/2016;104.3
10/2016;103.4
11/2016;98.9
12/2016;86.0
01/2017;87.3
02/2017;85.9
03/2017;97.6
04/2017;90.0
05/2017;103.1
06/2017;101.1
07/2017;105.6
08/2017;111.6
09/2017;107.1
10/2017;109.6
11/2017;104.2
12/2017;91.4
01/2018;93.1
02/2018;88.5
03/2018;99.1
04/2018;99.6
05/2018;95.5
06/2018;104.5
07/2018;110.3
08/2018;113.7
09/2018;104.3
10/2018;110.1
11/2018;102.5
12/2018;86.7
01/2019;90.8
02/2019;92.1
03/2019;94.1
04/2019;98.6
05/2019;106.7
06/2019;99.8
07/2019;108.5
08/2019;111.3
09/2019;106.1
10/2019;112.9
11/2019;101.9
12/2019;87.2
01/2020;92.2
02/2020;91.8
03/2020;90.0
04/2020;67.3
05/2020;81.5
06/2020;90.2
07/2020;105.1
08/2020;108.5
09/2020;111.4
10/2020;114.2
11/2020;106.1
12/2020;96.2
01/2021;94.6
02/2021;92.8
03/2021;100.8
04/2021;94.4
05/2021;102.6
06/2021;102.2
07/2021;107.2
08/2021;108.1
09/2021;105.9
10/2021;104.8
11/2021;100.4
12/2021;90.5
01/2022;89.1
02/2022;90.2
03/2022;98.6
04/2022;94.4
05/2022;103.9
06/2022;102.4
07/2022;107.4
08/2022;111.4
09/2022;105.6
10/2022;104.7
11/2022;101.9
12/2022;90.3
01/2023;89.1
02/2023;86.8
03/2023;99.2
04/2023;91.1
05/2023;104.3
06/2023;100.8
07/2023;104.6
08/2023;111.5
09/2023;104.8
10/2023;106.1
11/2023;101.1
12/2023;88.2
01/2024;91.9
02/2024;91.1
Source;IBGE
